,Factor 1,Factor 2
pub.1141243129,0.45122890147663636,-0.7343439664472441
pub.1019367407,0.02872418006965568,0.054902667251376325
pub.1027379820,0.3568772802711644,0.17105360015467608
pub.1043083104,0.31997912145644164,0.22121250171076923
pub.1133513711,0.26227887918269743,0.19756593143037401
pub.1003073469,-0.5819199069797735,0.4669959228171753
pub.1155372035,0.3228025524683757,-0.879696359905951
pub.1132513618,0.3228025524683757,-0.8796963599059512
pub.1050322757,0.2687730648560387,0.19155273123624114
pub.1039450839,-0.5093828881514503,0.6338428794185639
pub.1051490962,0.13727171765080248,0.03852471975510357
pub.1142593121,0.2669111950487253,0.2026319218533814
pub.1042096892,-0.594245795452281,0.4749807001890467
pub.1058846362,0.39461679194916593,0.23379114968330694
pub.1098762313,0.26691127556706584,0.20263198786289308
pub.1101835275,0.2669113650845908,0.20263206123670227
pub.1045903195,0.2669115041906035,0.20263217524120025
pub.1062956130,0.26691120629148063,0.20263193107084307
pub.1109699696,0.5154998777428214,-0.4549456691531182
pub.1040785393,0.26691153896372327,0.2026322037514201
pub.1033692776,0.26691146474730515,0.20263214292598988
pub.1127253303,0.26691142037812915,0.20263210652283592
pub.1033895754,0.26691126076907945,0.20263197573749187
pub.1039601605,0.2669113726338977,0.20263206742324255
pub.1098714291,0.2669114874687207,0.20263216153663371
pub.1101875348,0.26691154119807264,0.2026322055877853
pub.1002997199,0.26691144877147777,0.20263212982344248
pub.1029656202,0.3731583266672133,0.3239944739071976
pub.1058790617,0.2669116646807491,0.2026323067974662
pub.1106072045,0.266911209772878,0.20263193392480003
pub.1139957215,0.2669111287240133,0.20263186747989181
pub.1140450575,0.26691170547714543,0.20263234024708035
pub.1037805443,0.26691122364548514,0.2026319453113194
pub.1144286335,0.26691114402056326,0.2026318800151304
pub.1010395094,0.26691168764630147,0.20263232562997824
pub.1113100448,0.26691168545895094,0.20263232381543642
pub.1108495598,0.26691142010228497,0.20263210632886944
pub.1006558317,0.2669116971383211,0.2026323334046181
pub.1058847736,0.26691177667989263,0.20263239859861606
pub.1112285533,0.2669111479799117,0.20263188325955503
pub.1014624777,0.26691149324619057,0.20263216626650368
pub.1037949420,0.2669114662045839,0.20263214412362857
pub.1083879435,0.2669114716782866,0.20263214860494652
pub.1110909869,0.26691175174571646,0.2026323781640029
pub.1144237216,0.26691161701267946,0.2026322677377552
pub.1041627308,0.26691135771766755,0.20263205518175112
pub.1033711124,0.26691133032219516,0.20263203273908645
pub.1041679715,0.2669114087281122,0.20263209700056545
pub.1137262515,0.26691137607907195,0.2026320702371441
pub.1139450567,0.26691153453500627,0.2026322001283739
pub.1062954696,0.2669115658470518,0.20263222579519022
pub.1005396929,0.27986257198731457,0.21203088509710097
pub.1034784679,0.26691144974167424,0.202632130622957
pub.1001837666,-0.5133436006854154,-0.10923243486035772
pub.1062959019,0.2669112374666359,0.20263195663561032
pub.1007124653,0.6324171004859717,-0.40843847388214927
pub.1031358395,0.2669107176517015,0.20263153043853643
pub.1141526618,0.266911864966419,0.2026324709912113
pub.1021329798,0.26691142050213607,0.20263210666122852
pub.1138777652,0.26691174650553173,0.2026323739138999
pub.1121618126,0.26691100572249093,0.20263176667677618
pub.1105767638,0.2669113972889688,0.20263208761983806
pub.1061315446,0.26691128672224496,0.20263199701340115
pub.1107087187,0.266911624600143,0.2026322739302489
pub.1038690239,0.2669114856897296,0.2026321600941061
pub.1027554054,0.26691154445628346,0.2026322082637171
pub.1131396636,0.2669111669249497,0.20263189878587745
pub.1016234160,0.2669113824958315,0.2026320754990294
pub.1008693699,0.3929913276107126,0.34180031574374187
pub.1038260469,0.2669113866434574,0.20263207891297644
pub.1032678206,0.2669110265215272,0.2026317837404312
pub.1041834685,0.26691141689960957,0.20263210368751364
pub.1060474735,0.2669115898385327,0.2026322454489175
pub.1101706511,0.2669118299759428,0.2026324423175802
pub.1107363371,0.2669111177385112,0.20263185845191264
pub.1000290782,0.2669115106737746,0.20263218055027188
pub.1140210211,0.49882328789021313,-0.4667768135351917
pub.1004701062,0.2669111419283586,0.20263187833424973
pub.1046496194,-0.893801432273478,0.26817377647215374
pub.1011328414,-0.8938006991578444,0.26817369083197373
pub.1146100044,-0.8938039837278839,0.2681740745386467
pub.1163039667,-0.893798766620495,0.26817346505795187
pub.1145658524,-0.8938034886335932,0.26817401669972113
pub.1163094731,-0.8937993628321451,0.26817353471245065
pub.1128842618,-0.8937997351175132,0.26817357820572457
pub.1012959681,-0.8937986476084923,0.2681734511651453
pub.1021899069,-0.8937994833280324,0.2681735487936895
pub.1043560141,-0.8938015978633284,0.26817379581390116
pub.1148222873,-0.8938008502147309,0.2681737084700771
pub.1001746166,-0.8938019635942612,0.2681738385386781
pub.1100780732,-0.8938014299036687,0.26817377619203914
pub.1132784131,-0.8937995872807877,0.2681735609361217
pub.1127790772,-0.8938011281270705,0.2681737409411422
pub.1016688305,-0.8938013133000593,0.2681737625732631
pub.1107348546,-0.8938021474733147,0.2681738600220115
pub.1048952754,-0.8938016796178385,0.2681738053660208
pub.1047468724,-0.8938019131826912,0.2681738326482094
pub.1022663778,-0.8938041556905246,0.26817409461950104
pub.1112674780,-0.8938008481432017,0.268173708229849
pub.1084128909,-0.8938015471516595,0.26817378988956
pub.1150476600,-0.893800997239473,0.26817372564558806
pub.1152220815,-0.8937998707698275,0.26817359405420843
pub.1041223371,-0.8938002068682491,0.2681736333206445
pub.1043791162,-0.8937993952043042,0.2681735384956091
pub.1137602502,-0.8938019122856219,0.26817383254852717
pub.1138865099,-0.8938017559340181,0.26817381428267734
pub.1148905819,-0.893800885764055,0.26817371262759254
pub.1034913628,-0.893800053608875,0.2681736154114225
pub.1147404219,-0.8937995136571502,0.26817355233636314
pub.1024450528,-0.8938022806766202,0.2681738755813204
pub.1124145969,-0.8938012248402354,0.2681737522383441
pub.1130758145,-0.8938019955136146,0.26817384227094515
pub.1154888843,-0.8938015100887763,0.2681737855601602
pub.1141936719,-0.8938014203976753,0.26817377508322593
pub.1092490039,-0.8938014230861877,0.26817377539545223
pub.1112365796,-0.8938016241651137,0.26817379888620035
pub.1147163503,-0.8937982010222161,0.26817339899506865
pub.1149437864,-0.893801830544814,0.2681738229962642
pub.1131629685,-0.8938016115264472,0.26817379741172453
pub.1008820180,-0.8773082498863153,0.2921473906749335
pub.1048789161,-0.8938018818676637,0.2681738289918334
pub.1000826568,-0.8938025956340573,0.2681739123755758
pub.1152982403,-0.8938039752663648,0.26817407354047273
pub.1121558350,-0.8938023687845017,0.2681738858745874
pub.1028470194,-0.780260321455846,0.38624564751720236
pub.1153627012,-0.8938007844033237,0.2681737007846245
pub.1146150624,-0.8938018619332477,0.26817382666238476
pub.1030416519,-0.893801831805847,0.2681738231419251
pub.1051795875,-0.5767549329070245,-0.30538258986615135
pub.1019420580,-0.8938015963631276,0.26817379564073723
pub.1107083924,-0.8938004885658527,0.26817366622513783
pub.1146116213,-0.8938024044600559,0.2681738900405959
pub.1023695959,-0.8938000568185233,0.26817361578902776
pub.1144720931,-0.8938020264562172,0.2681738458812984
