,Factor 1 (Variance explained: 53.9),Factor 2 (Variance explained: 13.41),Factor 3 (Variance explained: 5.13),Factor 4 (Variance explained: 3.13),Factor 5 (Variance explained: 2.09),Factor 6 (Variance explained: 1.65),Factor 7 (Variance explained: 1.15)
pub.1141243129,0.7652086763065219,-0.08900257573649041,0.2444108157974994,-0.14993477983931922,0.020376700565367157,0.16065775640315302,-0.08406261275469293
pub.1019367407,0.8887215331924,0.04383186100351822,0.04297215267006189,-0.05886160204240703,0.025810719117850326,0.05903858744008619,-0.06336024190099242
pub.1049441366,0.4082009946171468,0.0059140573926870915,0.01970922503961444,0.046821375678568124,-0.2881925778556227,-0.012362319668205335,-6.436560399584685e-05
pub.1027379820,0.9081493819563555,0.03288454634234563,0.06124849879513509,-0.053201576957273324,0.0282467880596095,0.02252415860335262,-0.04818374943516453
pub.1043083104,0.9078403594443102,0.027210743764813645,0.10459645702714897,0.001267014810016083,0.012462060280686773,0.0528960730135645,-0.038451961169458315
pub.1006729817,0.2343812289246808,-0.17617436254787222,0.24184581224964807,-0.890952500358515,0.05696970613996187,0.022326504524385053,-0.10755692807002572
pub.1039391974,0.7617122679870554,-0.10489638542132587,-0.005214843576755957,-0.20232585436981992,0.05027244836585595,0.022417926342366508,-0.2852671042467663
pub.1003073469,0.6198121030331151,-0.11222513029874476,0.4093032612013358,-0.02419732194296279,0.03139764915210032,0.05578244536799586,-0.0109748059989836
pub.1050322757,0.6722479369795815,0.10336482441377705,0.19876429626966774,-0.036189136096566675,-0.005596923560077506,0.07445349368503977,-0.07518981033197984
pub.1039450839,0.8643001589407425,0.1812836835039276,-0.0926319231424747,-0.018737454477734176,0.0026382560222818615,0.01690983247686631,-0.04953737213670948
pub.1052655914,0.6892427689595516,-0.10663750446359709,-0.0795591678749774,-0.11726900756647313,0.04003810835733367,0.005798103950583405,-0.2763422057739965
pub.1034497937,0.8514075983562588,-0.022350640338188156,0.15647209465769657,-0.09604183158274956,-0.009369738493678071,0.030300544772211824,-0.0802273615644236
pub.1051490962,0.878617854163825,0.0027017853128186815,-0.020881188174583114,-0.10598329291477818,0.03069847631664377,-0.007359994022949206,-0.15667214239694283
pub.1042096892,0.8612486544684732,0.23998250098569182,0.04053122236301201,-0.045258706911142366,0.049115055169283876,0.024721840547706254,-0.04302706804996411
pub.1058846362,0.7375451887207346,0.4928335006663783,-0.10258008663929681,-0.021020631932939716,0.02216325251226287,-0.02211305219488058,-0.03178424242563394
pub.1062956130,0.6746990790808287,-0.1381918666803173,0.3367357948440578,-0.1945618995843541,0.037406861012115315,0.2271855888075574,-0.09909021836311353
pub.1127253303,0.5325642746367877,-0.20953284714436715,0.33803542208820586,-0.416910662458056,0.06634493220353292,0.03661728530076724,-0.13947487211175078
pub.1033895754,0.7899102490268296,-0.06719453913094205,0.23421145896291673,-0.18255122591729195,-0.02810151013030094,0.011297368670623607,-0.09572805508093496
pub.1029656202,0.9193484564569379,0.07310939809531909,-0.004034063168483478,-0.046232848401438195,0.02383064879929163,0.008733410765735493,-0.053278798691701934
pub.1058790617,0.9055396220549826,0.048688119022831156,0.01830837658007455,-0.03856853653832361,-0.013462975032328826,0.0209126128358701,-0.07394557228072673
pub.1037805443,0.7985923212544355,-0.10788470868425522,0.25901493480961635,-0.09324042767438576,-0.008678217464639468,0.1879134345015786,-0.0536703378248918
pub.1058847736,0.8995342979978818,0.06843402357440725,0.011330550138209381,-0.027964112162666012,0.000599355733528218,0.02257202843514973,-0.08454448470418069
pub.1041679715,0.7541985129296017,-0.05539605393837876,0.34973914181472066,-0.12700750488395354,0.0737677517688203,0.04886268462606344,-0.04782603875422567
pub.1005396929,0.7022031806309275,-0.11513599666263077,0.32988958860328993,-0.052071858162958576,0.015539382938025441,0.16423812737470986,0.014489153937398204
pub.1034784679,0.8660368760752297,-0.047561867759493545,0.1229790029291529,-0.12552047280898207,0.029092454878534728,0.09004807790796271,-0.12949816708132658
pub.1001837666,0.9109320803547677,0.03584465689667334,0.07961873621019676,-0.04418425354116522,0.029153000757698617,0.011819947650830349,-0.05599686267135648
pub.1031358395,0.8376541127384877,0.26998460397404683,0.021977993329576197,-0.04179751039157028,0.0270342333216916,0.1107390889803486,-0.044423969545812035
pub.1131396636,-0.160658553080874,-0.2205727682323992,0.42252966304192274,-0.08112591171684319,-0.1781650925549173,-0.02380043744346867,0.08457099239521132
pub.1016234160,0.7235679872060333,-0.137658474517179,0.38653196204423723,-0.22227538324640236,0.03821706946108225,0.056342713786000656,-0.05113767836348225
pub.1008693699,0.7926491367596411,0.390619940278136,-0.06654588489975144,0.002899160436575847,0.02049845546815598,0.007153872386359958,0.0011972171467900406
pub.1041834685,0.8062740953097377,-0.0894910561511457,0.2902908656475783,-0.14955748321053963,0.018487293107377095,0.03336947221324407,-0.024533593195051037
pub.1140210211,0.2801384914940485,-0.15582369752671632,0.773717155605788,-0.10071108420896356,0.013720592539733872,0.1562631151123592,0.01644376894304477
pub.1046496194,0.6446224322365781,0.46317475068828573,-0.06869065862465734,-0.016252907092483376,0.07928547416624178,0.17247769853949413,-0.08211694145675617
pub.1008820180,0.8893884361896285,-0.0038510683153534235,0.14988596029142792,-0.09903723295526912,0.02756929100811258,0.05467701223188288,-0.05444681548714222
pub.1051795875,0.8900892700219157,0.012254415106129212,0.1311499546920808,-0.03566095646803494,0.026248975648581543,0.06734764835276698,-0.0707432028569004
pub.1024819677,0.891756208929196,0.03361986968588799,0.045222944866737225,-0.032819305512990796,0.008468871086240592,0.04852136201509957,-0.03997779147114391
pub.1018893167,0.2073605491795268,-0.002679770097613147,0.3030318805724308,0.13188618913913716,-0.07572337163333173,0.0797133912860888,0.11059253836676748
pub.1026743684,0.807209726740953,0.35308830788573475,-0.11208662198133733,-0.02999559202750022,0.019628379447543014,0.12347919322791562,-0.0333740693185166
pub.1138112198,0.31859327801365367,-0.19776176727174913,0.7192286899826105,-0.10022828743167028,0.02101111936983858,0.06462460066636679,0.008750039320746548
pub.1002995980,0.9091641209806324,0.030704950604990358,0.03515692297283472,-0.06107546549876046,0.047354382453587876,0.08210568226889853,-0.06699500340084225
pub.1034831932,0.8781760373203777,0.18444442411192796,0.009283303316344811,-0.08042546766674434,0.05431187704439688,0.04932490164209674,-0.06841759462899162
pub.1026044223,0.931487294391572,0.1291521018781909,-0.016465348869441072,-0.007339036984433665,0.005558889238053308,0.017156408313495276,-0.027300804842947946
pub.1000044783,0.7947851465183258,0.39443787651892287,-0.08682820668394264,0.05134666399716772,0.0030113027482085958,0.055679484745040926,0.034979998301102745
pub.1003075089,0.7719351941124907,0.14453694211946577,-0.019079994040228723,0.06233142554265994,-0.05875659164318655,0.04377683462041046,0.01773683695160394
pub.1001757206,0.8449215918864775,-0.07451843581518963,0.05259344547322426,-0.21827587912478083,0.020214726642811702,-0.0049260569276471326,-0.15181940571923178
pub.1037797055,0.8992354125008057,0.050000927810114,0.030009994065853265,0.00643408173333673,-0.0025501701809103436,0.03241840182024692,-0.0031267475758199256
pub.1019120649,0.8280532438049399,0.27110317263697564,-0.01629331414775264,-0.01992461666091176,0.048572737829900646,0.07638252574055243,-0.06814220405943124
pub.1000272452,0.7920755908831258,-0.14174379126670222,0.17591546123057308,-0.23877372697830518,0.06259366843961722,-0.002161014510067173,-0.14907639169018871
pub.1053298893,0.8134621049817371,-0.039993976818102,-0.05168996726324861,-0.1658199653962757,0.07673490191980468,0.07449481310787298,-0.205547779107513
pub.1050689363,0.8944411696830329,0.018800579198007823,0.1563608495718374,-0.06860406280518355,-0.000366560007336392,0.035498439375001314,-0.04454657443726007
pub.1047677798,0.748663141400749,-0.08586855757389909,0.3489162432236053,-0.20477363514468044,0.008421229977573219,-0.0036844956775979017,-0.036627052854351576
pub.1107910981,0.9138552168834311,0.041113836572010655,0.04347295343236584,-0.07362090945226918,0.032701014514628236,0.013862142959485903,-0.09967443029339897
pub.1047935972,0.867425980156598,0.006626202022469538,-0.00417130584530404,-0.1515382124834788,0.046051242071263015,0.012457278891286802,-0.1938695292810268
pub.1113379470,0.8293102944239612,-0.06019117059101145,0.24956495070435153,-0.14551256951654012,0.03239862014019517,0.07561412960452679,-0.07451012119230115
pub.1131315804,0.5952354011590866,-0.12564867809430766,0.4535736288619458,-0.13095864981342095,0.043906713683752784,0.17896214380751896,-0.04838032942283152
pub.1038003829,0.8894840814432089,0.04125789637012521,0.1545570686906315,-0.06177793546768753,0.020630412468753637,0.04609217189122937,-0.022268345862802335
pub.1010608102,0.7485679699915027,0.49876763764861376,-0.06313099427975122,-0.01610978116488893,0.013324180457380623,0.011850403257372227,0.006445684670970012
pub.1134429073,0.6055327421121285,-0.06269431960197479,0.12201183962665638,-0.1489343478592678,0.058550111495939285,0.3030392410513971,-0.17724160051659202
pub.1062510683,0.10581819320653306,0.8964206417032045,-0.1160159948373488,0.012503561402533468,0.02039995066815482,0.016342175685603557,0.017447018694059478
pub.1033809236,0.7422725514544072,0.3167470224700914,0.22385254682064232,-0.056572461629986075,0.03335726636344565,0.07141533573041672,0.03450586031782887
pub.1105156396,0.4459523205060115,-0.09260404742296648,0.6556694009957349,-0.10959264576678097,0.07540608766111771,0.13919654705559076,-0.03138916355128703
pub.1106097584,0.7342661621949603,-0.09611115283754257,0.2526585016112771,-0.22876618449380992,0.0660840860949057,0.16045297205361156,-0.1510366901773085
pub.1020819174,0.8920528142057982,0.12696991067360275,-0.039508662139189556,-0.04045059841419611,0.04134086150135839,0.03351941084892362,-0.07945645192156203
pub.1040245770,0.2951307363301007,0.8598859587625745,-0.015786382909181274,0.013425772117614925,0.03511764091024877,0.0004978764985911269,0.055070223263924044
pub.1002664161,0.897289195371093,0.00483668903119639,0.13276020377136158,-0.08560462809952969,0.014493329276702716,0.028121574658215097,-0.024265450107732685
